ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_For_Days,Family_Size,TotalSpent,TotalPurchases,SpendPerPurchase,DealRate,WebChannelShare,CatalogChannelShare,StoreChannelShare
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,69,4982,1,1617,32,50.53125,0.09375,0.36363636363636365,0.45454545454545453,0.18181818181818182
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,72,4432,3,27,11,2.4545454545454546,0.18181818181818182,0.25,0.25,0.5
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,61,4631,2,776,25,31.04,0.04,0.4,0.1,0.5
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,42,4458,3,53,14,3.7857142857142856,0.14285714285714285,0.3333333333333333,0.0,0.6666666666666666
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,45,4480,3,422,24,17.583333333333332,0.20833333333333334,0.35714285714285715,0.21428571428571427,0.42857142857142855
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,59,4612,3,716,28,25.571428571428573,0.07142857142857142,0.3,0.2,0.5
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,55,4912,2,590,27,21.85185185185185,0.14814814814814814,0.4117647058823529,0.17647058823529413,0.4117647058823529
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,41,4736,3,169,18,9.38888888888889,0.1111111111111111,0.5,0.0,0.5
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,52,4707,3,46,15,3.066666666666667,0.06666666666666667,0.6,0.0,0.4
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,76,4427,4,49,22,2.227272727272727,0.045454545454545456,1.0,0.0,0.0
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,50,4912,2,61,14,4.357142857142857,0.07142857142857142,0.4,0.0,0.6
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,67,4545,1,1102,18,61.22222222222222,0.05555555555555555,0.2,0.26666666666666666,0.5333333333333333
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,74,4545,3,310,21,14.761904761904763,0.14285714285714285,0.5,0.08333333333333333,0.4166666666666667
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,39,4946,2,46,13,3.5384615384615383,0.07692307692307693,0.25,0.0,0.75
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,80,4901,1,1315,29,45.3448275862069,0.034482758620689655,0.28,0.24,0.48
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,46,4871,4,96,17,5.647058823529412,0.17647058823529413,0.5,0.0,0.5
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,80,4986,2,317,20,15.85,0.1,0.36363636363636365,0.09090909090909091,0.5454545454545454
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,77,4777,3,1782,31,57.483870967741936,0.06451612903225806,0.4583333333333333,0.16666666666666666,0.375
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,41,4922,2,133,14,9.5,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.5
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,44,5009,2,316,20,15.8,0.05,0.36363636363636365,0.18181818181818182,0.45454545454545453
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,47,4858,3,1730,44,39.31818181818182,0.3409090909090909,0.0,1.0,0.0
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,77,4872,3,972,25,38.88,0.12,0.14285714285714285,0.21428571428571427,0.6428571428571429
